order_id,cancellation_reason_id,cancellation_reason
183233,58,"Customer Does Not Have Cash"
183177,61,"Customer Claims That He Hasn't Placed The Order"
183173,59,"Shop Closed And Customer Not Responding"
183160,58,"Customer Does Not Have Cash"
183156,53,"Late Delivery"
183152,63," order cancel rate issue jam e shirin Other"
183137,58,"Customer Does Not Have Cash"
183134,53,"Late Delivery"
183126,53,"Late Delivery"
183123,59,"Shop Closed And Customer Not Responding"
183122,29,"No Service Area"
183114,28,"Incomplete Order"
183114,28,"Incomplete Order"
183112,55,"SKU's NA"
183109,29,"No Service Area"
183108,29,"No Service Area"
183106,58,"Customer Does Not Have Cash"
183102,59,"Shop Closed And Customer Not Responding"
183094,28,"Incomplete Order"
183079,59,"Shop Closed And Customer Not Responding"
183075,30,"Retailer's Location is Incorrect"
183065,30,"Retailer's Location is Incorrect"
183062,30,"Retailer's Location is Incorrect"
183057,30,"Retailer's Location is Incorrect"
183052,49,"Driver got late"
183052,58,"Customer Does Not Have Cash"
183050,47,"Customer does not have cash"
183050,59,"Shop Closed And Customer Not Responding"
183045,30,"Retailer's Location is Incorrect"
183039,30,"Retailer's Location is Incorrect"
183036,53,"Late Delivery"
183027,30,"Retailer's Location is Incorrect"
183024,59,"Shop Closed And Customer Not Responding"
183017,63," reordering this with different sku quantity Other"
183013,55,"SKU's NA"
183013,55,"SKU's NA"
183012,55,"SKU's NA"
182994,59,"Shop Closed And Customer Not Responding"
182993,59,"Shop Closed And Customer Not Responding"
182977,61,"Customer Claims That He Hasn't Placed The Order"
182961,30,"Retailer's Location is Incorrect"
182958,63," cash issue Other"
182957,58,"Customer Does Not Have Cash"
182928,53,"Late Delivery"
182926,59,"Shop Closed And Customer Not Responding"
182920,57," order cancel due to Wrong Sku Deliver by Salesman Other"
182920,55,"SKU's NA"
182919,58,"Customer Does Not Have Cash"
182915,63," due to old retail print Other"
182911,53,"Late Delivery"
182910,53,"Late Delivery"
182909,53,"Late Delivery"
182908,53,"Late Delivery"
182907,53,"Late Delivery"
182905,28,"Incomplete Order"
182904,54,"Vehicle broke down"
182897,55,"SKU's NA"
182891,53,"Late Delivery"
182890,58,"Customer Does Not Have Cash"
182888,55,"SKU's NA"
182882,61,"Customer Claims That He Hasn't Placed The Order"
182877,30,"Retailer's Location is Incorrect"
182869,56,"Damaged/short expiry"
182858,58,"Customer Does Not Have Cash"
